Id,Sales
1,4971.64111328125
857,5103.05419921875
1713,5359.19580078125
2569,5814.7138671875
4281,4995.55224609375
5137,4293.4169921875
5993,3833.27294921875
6849,3867.375
7705,3812.208740234375
8561,4018.378173828125
10273,4995.55224609375
11129,4529.5390625
11985,4923.533203125
12841,5290.06201171875
13697,5383.49951171875
14553,5985.68701171875
16265,4643.25048828125
17121,4207.00048828125
17977,3896.50048828125
18833,3877.7705078125
19689,4188.3564453125
20545,5505.27197265625
22257,4643.25048828125
23113,4529.5390625
23969,4923.533203125
24825,5290.06201171875
25681,5383.49951171875
26537,5985.68701171875
28249,4643.25048828125
29105,4207.00048828125
29961,3896.50048828125
30817,3877.7705078125
31673,4188.3564453125
32529,5505.27197265625
34241,4643.25048828125
35097,4529.5390625
35953,4923.533203125
36809,5290.06201171875
37665,5383.49951171875
38521,5985.68701171875
40233,4643.25048828125
2,7939.6474609375
858,8528.630859375
1714,9249.08984375
2570,10286.671875
4282,4467.9853515625
5138,6274.13330078125
5994,5559.80517578125
6850,5505.9560546875
7706,5509.19580078125
8562,5510.29345703125
10274,4467.9853515625
11130,8258.7841796875
11986,7939.6474609375
12842,8528.630859375
13698,9249.08984375
14554,10286.671875
16266,4467.9853515625
17122,6274.13330078125
17978,5559.80517578125
18834,5505.9560546875
19690,5509.19580078125
20546,5510.29345703125
22258,4467.9853515625
23114,8258.7841796875
23970,7939.6474609375
24826,8528.630859375
25682,9249.08984375
26538,10286.671875
28250,4467.9853515625
29106,6274.13330078125
29962,5559.80517578125
30818,5505.9560546875
31674,6118.7626953125
32530,7109.79931640625
34242,4467.9853515625
35098,7523.63720703125
35954,8205.712890625
36810,8523.712890625
37666,9490.4697265625
38522,9939.880859375
40234,4467.9853515625
3,9029.0341796875
859,9107.6064453125
1715,11078.279296875
2571,12326.1953125
4283,6166.6650390625
5139,8316.5595703125
5995,7344.65185546875
6851,7142.1923828125
7707,7864.9794921875
8563,7992.56884765625
10275,6166.6650390625
11131,9727.3076171875
11987,9029.0341796875
12843,9107.6064453125
13699,11078.279296875
14555,12326.1953125
16267,6166.6650390625
17123,9227.525390625
